address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
,NYPD,New York City Police Department,1017830034.0,MANHATTAN,NEW YORK,2019-08-11T02:07:21.000,11 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T00:00:42.000,3 AVENUE,2 AVENUE,Loud Music/Party,,222 EAST  119 STREET,10035.0,3 AVENUE,2 AVENUE,EAST  119 STREET,40.799586519389806,"{'type': 'Point', 'coordinates': [-73.93789789175325, 40.799586519389806]}",,,,Street/Sidewalk,,-73.93789789175325,PHONE,MANHATTAN,Unspecified,2019-08-11T06:07:27.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,EAST  119 STREET,,43516222,1001444.0,230594.0
,NYPD,New York City Police Department,3055770001.0,BROOKLYN,BROOKLYN,2019-08-11T01:15:00.000,11 BROOKLYN,Noise - Residential,2019-08-11T00:00:42.000,18 AVENUE,19 AVENUE,Banging/Pounding,,1801 BAYRIDGE AVENUE,11204.0,18 AVENUE,19 AVENUE,BAY RIDGE AVENUE,40.61664536372277,"{'type': 'Point', 'coordinates': [-73.99219097560182, 40.61664536372277]}",,,,Residential Building/House,,-73.99219097560182,PHONE,BROOKLYN,Unspecified,2019-08-11T05:15:06.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,BAYRIDGE AVENUE,,43518350,986418.0,163937.0
,NYPD,New York City Police Department,4093750157.0,QUEENS,RICHMOND HILL,2019-08-11T06:22:09.000,09 QUEENS,Blocked Driveway,2019-08-11T00:00:54.000,134 STREET,135 STREET,No Access,,134-10 91 AVENUE,11418.0,134 STREET,135 STREET,91 AVENUE,40.69915799356095,"{'type': 'Point', 'coordinates': [-73.8162426367228, 40.69915799356095]}",,,,Street/Sidewalk,,-73.8162426367228,PHONE,QUEENS,Unspecified,2019-08-11T10:22:12.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,91 AVENUE,,43512729,1035203.0,194052.0
INTERSECTION,DOT,Department of Transportation,,QUEENS,,2019-08-11T01:00:00.000,Unspecified QUEENS,Traffic Signal Condition,2019-08-11T00:01:00.000,,,Controller,N/A,,,QNS MIDTOWN EXPY S/R N,HAMILTON PL,,,,,,,,,,UNKNOWN,QUEENS,Unspecified,2019-08-11T01:00:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,,,43511556,,
,NYPD,New York City Police Department,2033460010.0,BRONX,BRONX,2019-08-11T05:57:51.000,07 BRONX,Noise - Residential,2019-08-11T00:01:00.000,EAST  206 STREET,EAST  207 STREET,Banging/Pounding,,3210 PERRY AVENUE,10467.0,EAST  206 STREET,EAST  207 STREET,PERRY AVENUE,40.874921057657204,"{'type': 'Point', 'coordinates': [-73.87690614558501, 40.874921057657204]}",,,,Residential Building/House,,-73.87690614558501,PHONE,BRONX,Unspecified,2019-08-11T09:57:57.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,PERRY AVENUE,,43516693,1018292.0,258059.0
,NYPD,New York City Police Department,4016260077.0,QUEENS,CORONA,2019-08-11T05:18:03.000,04 QUEENS,Noise - Residential,2019-08-11T00:01:13.000,97 PLACE,98 STREET,Loud Music/Party,,97-77 CORONA AVENUE,11368.0,97 PLACE,98 STREET,CORONA AVENUE,40.74450615075646,"{'type': 'Point', 'coordinates': [-73.86526311290999, 40.74450615075646]}",,,,Residential Building/House,,-73.86526311290999,ONLINE,QUEENS,Unspecified,2019-08-11T09:18:07.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,CORONA AVENUE,,43515078,1021585.0,210549.0
,NYPD,New York City Police Department,1003560001.0,MANHATTAN,NEW YORK,2019-08-11T05:51:53.000,03 MANHATTAN,Noise - Park,2019-08-11T00:01:18.000,COLUMBIA STREET,EAST    3 STREET,Loud Music/Party,,12 AVENUE D,10009.0,COLUMBIA STREET,EAST    3 STREET,AVENUE D,40.72046202766974,"{'type': 'Point', 'coordinates': [-73.97836907442655, 40.72046202766974]}",,,,Park/Playground,,-73.97836907442655,ONLINE,MANHATTAN,Unspecified,2019-08-11T09:51:58.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,AVENUE D,,43517587,990246.0,201761.0
,NYPD,New York City Police Department,1015850036.0,MANHATTAN,NEW YORK,2019-08-11T01:30:03.000,08 MANHATTAN,Noise - Residential,2019-08-11T00:01:23.000,YORK AVENUE,EAST END AVENUE,Loud Music/Party,,530 EAST   89 STREET,10128.0,YORK AVENUE,EAST END AVENUE,EAST   89 STREET,40.77724216609957,"{'type': 'Point', 'coordinates': [-73.94427344998876, 40.77724216609957]}",,,,Residential Building/House,,-73.94427344998876,MOBILE,MANHATTAN,Unspecified,2019-08-11T05:30:05.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,EAST   89 STREET,,43518125,999684.0,222452.0
,NYPD,New York City Police Department,3018320097.0,BROOKLYN,BROOKLYN,2019-08-11T02:34:19.000,03 BROOKLYN,Noise - Residential,2019-08-11T00:01:44.000,BEDFORD AVENUE,NOSTRAND AVENUE,Loud Music/Party,,55 HANCOCK STREET,11216.0,BEDFORD AVENUE,NOSTRAND AVENUE,HANCOCK STREET,40.68219245003388,"{'type': 'Point', 'coordinates': [-73.95306013706332, 40.68219245003388]}",,,,Residential Building/House,,-73.95306013706332,ONLINE,BROOKLYN,Unspecified,2019-08-11T07:00:21.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,HANCOCK STREET,,43517888,997269.0,187821.0
,NYPD,New York City Police Department,3044527505.0,BROOKLYN,BROOKLYN,2019-08-11T09:48:49.000,05 BROOKLYN,Noise - Residential,2019-08-11T00:01:48.000,ELTON STREET,ESSEX STREET,Banging/Pounding,,526 SCHROEDERS AVENUE,11239.0,ELTON STREET,ESSEX STREET,SCHROEDERS AVENUE,40.655078823851085,"{'type': 'Point', 'coordinates': [-73.87248959993701, 40.655078823851085]}",,,,Residential Building/House,,-73.87248959993701,ONLINE,BROOKLYN,Unspecified,2019-08-11T13:48:53.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,SCHROEDERS AVENUE,,43512867,1019630.0,177965.0
,NYPD,New York City Police Department,1021290017.0,MANHATTAN,NEW YORK,2019-08-11T04:41:09.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T00:01:57.000,WEST  172 STREET,WEST  173 STREET,Loud Music/Party,,142 AUDUBON AVENUE,10032.0,WEST  172 STREET,WEST  173 STREET,AUDUBON AVENUE,40.84314988477399,"{'type': 'Point', 'coordinates': [-73.93642960935001, 40.84314988477399]}",,,,Street/Sidewalk,,-73.93642960935001,MOBILE,MANHATTAN,Unspecified,2019-08-11T08:41:10.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,AUDUBON AVENUE,,43514882,1001839.0,246466.0
,NYPD,New York City Police Department,4089750036.0,QUEENS,WOODHAVEN,2019-08-11T00:14:52.000,09 QUEENS,Noise - Residential,2019-08-11T00:02:00.000,WOODHAVEN BOULEVARD,96 STREET,Loud Music/Party,,93-16 90 AVENUE,11421.0,WOODHAVEN BOULEVARD,96 STREET,90 AVENUE,40.6907498906816,"{'type': 'Point', 'coordinates': [-73.84968943607782, 40.6907498906816]}",,,,Residential Building/House,,-73.84968943607782,ONLINE,QUEENS,Unspecified,2019-08-11T04:14:57.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,90 AVENUE,,43517374,1025934.0,190971.0
,NYPD,New York City Police Department,4014867501.0,QUEENS,ELMHURST,2019-08-11T05:18:26.000,04 QUEENS,Blocked Driveway,2019-08-11T00:02:06.000,ROOSEVELT AVENUE,BROADWAY,No Access,,40-24 76 STREET,11373.0,ROOSEVELT AVENUE,BROADWAY,76 STREET,40.74658502517517,"{'type': 'Point', 'coordinates': [-73.8894968006379, 40.74658502517517]}",,,,Street/Sidewalk,,-73.8894968006379,PHONE,QUEENS,Unspecified,2019-08-11T09:18:32.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,76 STREET,,43518733,1014869.0,211297.0
,NYPD,New York City Police Department,4039570055.0,QUEENS,COLLEGE POINT,2019-08-11T03:13:58.000,07 QUEENS,Noise - Residential,2019-08-11T00:02:13.000,6 AVENUE,7 AVENUE,Loud Talking,,6-15 128 STREET,11356.0,6 AVENUE,7 AVENUE,128 STREET,40.79126606437436,"{'type': 'Point', 'coordinates': [-73.83987422655576, 40.79126606437436]}",,,,Residential Building/House,,-73.83987422655576,ONLINE,QUEENS,Unspecified,2019-08-11T07:14:02.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,128 STREET,,43518106,1028589.0,227597.0
,NYPD,New York City Police Department,4094170024.0,QUEENS,SOUTH RICHMOND HILL,2019-08-11T03:20:57.000,09 QUEENS,Noise - Residential,2019-08-11T00:02:19.000,95 AVENUE,101 AVENUE,Loud Music/Party,,95-38 116 STREET,11419.0,95 AVENUE,101 AVENUE,116 STREET,40.69128446875381,"{'type': 'Point', 'coordinates': [-73.82952715959601, 40.69128446875381]}",,,,Residential Building/House,,-73.82952715959601,PHONE,QUEENS,Unspecified,2019-08-11T07:21:01.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,116 STREET,,43515792,1031525.0,191176.0
,NYPD,New York City Police Department,4120140007.0,QUEENS,JAMAICA,2019-08-11T05:32:04.000,12 QUEENS,Noise - Residential,2019-08-11T00:02:30.000,142 STREET,142 PLACE,Loud Music/Party,,142-14 FOCH BOULEVARD,11436.0,142 STREET,142 PLACE,FOCH BOULEVARD,40.678799023218524,"{'type': 'Point', 'coordinates': [-73.79923838797214, 40.678799023218524]}",,,,,,-73.79923838797214,PHONE,QUEENS,Unspecified,2019-08-11T09:32:05.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,FOCH BOULEVARD,,43515197,1039935.0,186645.0
,NYPD,New York City Police Department,3016630076.0,BROOKLYN,BROOKLYN,2019-08-11T05:24:12.000,03 BROOKLYN,Noise - Street/Sidewalk,2019-08-11T00:02:39.000,PATCHEN AVENUE,RALPH AVENUE,Loud Music/Party,,689 HALSEY STREET,11233.0,PATCHEN AVENUE,RALPH AVENUE,HALSEY STREET,40.684699863125644,"{'type': 'Point', 'coordinates': [-73.9247470012391, 40.684699863125644]}",,,,Street/Sidewalk,,-73.9247470012391,PHONE,BROOKLYN,Unspecified,2019-08-11T09:24:16.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,HALSEY STREET,,43513792,1005121.0,188740.0
,NYPD,New York City Police Department,1016200023.0,MANHATTAN,NEW YORK,2019-08-11T04:16:02.000,11 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T00:02:45.000,EAST  112 STREET,EAST  115 STREET,Loud Music/Party,,1564 PARK AVENUE,10029.0,EAST  112 STREET,EAST  115 STREET,PARK AVENUE,40.79704297291478,"{'type': 'Point', 'coordinates': [-73.9449033705551, 40.79704297291478]}",,,,Street/Sidewalk,,-73.9449033705551,ONLINE,MANHATTAN,Unspecified,2019-08-11T08:16:08.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,PARK AVENUE,,43513767,999505.0,229666.0
,NYPD,New York City Police Department,1020260045.0,MANHATTAN,NEW YORK,2019-08-11T00:54:54.000,10 MANHATTAN,Noise - Residential,2019-08-11T00:02:51.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,Loud Music/Party,,216 WEST  141 STREET,10030.0,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  141 STREET,40.81943013125942,"{'type': 'Point', 'coordinates': [-73.94174159065808, 40.81943013125942]}",,,,Residential Building/House,,-73.94174159065808,PHONE,MANHATTAN,Unspecified,2019-08-11T04:54:59.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WEST  141 STREET,,43514718,1000375.0,237823.0
INTERSECTION,DOT,Department of Transportation,3013690001.0,BROOKLYN,BROOKLYN,2019-08-13T13:02:00.000,08 BROOKLYN,Street Light Condition,2019-08-11T00:03:00.000,BUFFALO AVE,RALPH AVE,Street Light Out,,1575 PARK PLACE,11213.0,PARK PLACE,BUFFALO AVENUE,,40.67206324438088,"{'type': 'Point', 'coordinates': [-73.92524432147842, 40.67206324438088]}",,,,,,-73.92524432147842,UNKNOWN,BROOKLYN,Unspecified,2019-08-13T13:02:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,PARK PLACE,,43514530,1004987.0,184136.0
,NYPD,New York City Police Department,3059280028.0,BROOKLYN,BROOKLYN,2019-08-11T03:44:12.000,10 BROOKLYN,Noise - Residential,2019-08-11T00:03:10.000,RIDGE BOULEVARD,3 AVENUE,Banging/Pounding,,252 74 STREET,11209.0,RIDGE BOULEVARD,3 AVENUE,74 STREET,40.632452016151476,"{'type': 'Point', 'coordinates': [-74.02879719414074, 40.632452016151476]}",,,,Residential Building/House,,-74.02879719414074,MOBILE,BROOKLYN,Unspecified,2019-08-11T07:44:17.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,74 STREET,,43516038,976257.0,169697.0
ADDRESS,DHS,Department of Homeless Services,1018260022.0,MANHATTAN,NEW YORK,2019-08-14T10:30:36.000,10 MANHATTAN,Homeless Person Assistance,2019-08-11T00:03:13.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS CIRCLE,N/A,,207 WEST  110 STREET,10026.0,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS CIRCLE,WEST  110 STREET,40.79968537556885,"{'type': 'Point', 'coordinates': [-73.95586677002987, 40.79968537556885]}",,,,,,-73.95586677002987,MOBILE,MANHATTAN,Unspecified,2019-08-11T03:04:43.000,,Closed,WEST  110 STREET,,43518226,996469.0,230627.0
,NYPD,New York City Police Department,3043090042.0,BROOKLYN,BROOKLYN,2019-08-11T09:48:29.000,05 BROOKLYN,Noise - Residential,2019-08-11T00:03:43.000,MCCLANCY PLACE,HEGEMAN AVENUE,Loud Music/Party,,751 BARBEY STREET,11207.0,MCCLANCY PLACE,HEGEMAN AVENUE,BARBEY STREET,40.66380925569484,"{'type': 'Point', 'coordinates': [-73.88481471480064, 40.66380925569484]}",,,,Residential Building/House,,-73.88481471480064,MOBILE,BROOKLYN,Unspecified,2019-08-11T13:48:33.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,BARBEY STREET,,43517298,1016206.0,181141.0
,NYPD,New York City Police Department,5029820064.0,STATEN ISLAND,STATEN ISLAND,2019-08-11T08:36:53.000,01 STATEN ISLAND,Illegal Parking,2019-08-11T00:03:47.000,HYLAN BOULEVARD,MARYLAND AVENUE,Commercial Overnight Parking,,161 REYNOLDS STREET,10305.0,HYLAN BOULEVARD,MARYLAND AVENUE,REYNOLDS STREET,40.60967482659942,"{'type': 'Point', 'coordinates': [-74.07385745446818, 40.60967482659942]}",,,,Street/Sidewalk,,-74.07385745446818,MOBILE,STATEN ISLAND,Unspecified,2019-08-11T12:42:35.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,REYNOLDS STREET,,43514386,963743.0,161406.0
,NYPD,New York City Police Department,4011770045.0,QUEENS,JACKSON HEIGHTS,2019-08-11T08:07:12.000,03 QUEENS,Noise - Commercial,2019-08-11T00:03:47.000,81 STREET,82 STREET,Loud Music/Party,,81-01 NORTHERN BOULEVARD,11372.0,81 STREET,82 STREET,NORTHERN BOULEVARD,40.755482999720215,"{'type': 'Point', 'coordinates': [-73.88616133748015, 40.755482999720215]}",,,,Store/Commercial,,-73.88616133748015,MOBILE,QUEENS,Unspecified,2019-08-11T12:07:15.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,NORTHERN BOULEVARD,,43515347,1015789.0,214540.0
ADDRESS,DOB,Department of Buildings,1005870065.0,MANHATTAN,NEW YORK,2019-08-29T00:00:00.000,02 MANHATTAN,Special Projects Inspection Team (SPIT),2019-08-11T00:04:13.000,,,Illegal Hotel Rooms In Residential Building,N/A,15 COMMERCE STREET,10014.0,,,,40.73172571425262,"{'type': 'Point', 'coordinates': [-74.00436588456931, 40.73172571425262]}",,,,,,-74.00436588456931,UNKNOWN,MANHATTAN,Unspecified,2019-08-29T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,COMMERCE STREET,,43520964,983040.0,205864.0
,NYPD,New York City Police Department,4160520043.0,QUEENS,ARVERNE,2019-08-11T02:12:45.000,14 QUEENS,Noise - Residential,2019-08-11T00:04:25.000,BEACH   69 STREET,BEACH   72 STREET,Loud Music/Party,,69-18 GOUVERNEUR AVENUE,11692.0,BEACH   69 STREET,BEACH   72 STREET,GOUVERNEUR AVENUE,40.59342167632715,"{'type': 'Point', 'coordinates': [-73.79893697017528, 40.593421676327154]}",,,,Residential Building/House,,-73.79893697017528,ONLINE,QUEENS,Unspecified,2019-08-11T06:12:49.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,GOUVERNEUR AVENUE,,43514473,1040090.0,155540.0
,NYPD,New York City Police Department,3015850042.0,BROOKLYN,BROOKLYN,2019-08-11T02:52:41.000,03 BROOKLYN,Noise - Street/Sidewalk,2019-08-11T00:05:00.000,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,Loud Music/Party,,335 VERNON AVENUE,11206.0,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,VERNON AVENUE,40.695939253494544,"{'type': 'Point', 'coordinates': [-73.93778888041359, 40.695939253494544]}",,,,Street/Sidewalk,,-73.93778888041359,MOBILE,BROOKLYN,Unspecified,2019-08-11T07:01:00.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,VERNON AVENUE,,43511911,1001501.0,192832.0
,NYPD,New York City Police Department,3051250048.0,BROOKLYN,BROOKLYN,2019-08-11T04:03:06.000,14 BROOKLYN,Noise - Street/Sidewalk,2019-08-11T00:05:19.000,EAST   21 STREET,FLATBUSH AVENUE,Loud Talking,,2112 REGENT PLACE,11226.0,EAST   21 STREET,FLATBUSH AVENUE,REGENT PLACE,40.646287427216414,"{'type': 'Point', 'coordinates': [-73.95872495133372, 40.646287427216414]}",,,,Street/Sidewalk,,-73.95872495133372,ONLINE,BROOKLYN,Unspecified,2019-08-11T08:03:11.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,REGENT PLACE,,43511946,995704.0,174739.0
,NYPD,New York City Police Department,1019550026.0,MANHATTAN,NEW YORK,2019-08-11T04:36:38.000,10 MANHATTAN,Noise - Residential,2019-08-11T00:05:20.000,WEST  129 STREET,WEST  130 STREET,Banging/Pounding,,400 ST NICHOLAS AVENUE,10027.0,WEST  129 STREET,WEST  130 STREET,ST NICHOLAS AVENUE,40.813700254006314,"{'type': 'Point', 'coordinates': [-73.94992195186114, 40.813700254006314]}",,,,Residential Building/House,,-73.94992195186114,ONLINE,MANHATTAN,Unspecified,2019-08-11T08:36:51.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,ST NICHOLAS AVENUE,,43512917,998112.0,235734.0
,NYPD,New York City Police Department,1021530080.0,MANHATTAN,NEW YORK,2019-08-11T01:26:11.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T00:05:37.000,AUDUBON AVENUE,ST NICHOLAS AVENUE,Loud Music/Party,,541 WEST  180 STREET,10033.0,AUDUBON AVENUE,ST NICHOLAS AVENUE,WEST  180 STREET,40.84817358504047,"{'type': 'Point', 'coordinates': [-73.93314285449081, 40.84817358504047]}",,,,Street/Sidewalk,,-73.93314285449081,MOBILE,MANHATTAN,Unspecified,2019-08-11T05:26:14.000,The Police Department reviewed your complaint and provided additional information below.,Closed,WEST  180 STREET,,43518757,1002747.0,248297.0
,NYPD,New York City Police Department,4034420010.0,QUEENS,RIDGEWOOD,2019-08-11T03:57:48.000,05 QUEENS,Noise - Residential,2019-08-11T00:05:51.000,MENAHAN STREET,GROVE STREET,Loud Music/Party,,261 ST NICHOLAS AVENUE,11385.0,MENAHAN STREET,GROVE STREET,ST NICHOLAS AVENUE,40.70222491128586,"{'type': 'Point', 'coordinates': [-73.91265601577032, 40.70222491128586]}",,,,Residential Building/House,,-73.91265601577032,ONLINE,QUEENS,Unspecified,2019-08-11T07:57:50.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,ST NICHOLAS AVENUE,,43514029,1008468.0,195128.0
